Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total,Currency (Total),Withholding tax,Currency (Withholding tax)
Dividend (Ordinary),29/09/2023 15:06,GG00BBHX2H91,TRIG,Renewables Infrastructure Group,50.0,1.8,GBX,Not available,0.9,GBP,0.0,GBX
Dividend (Ordinary),02/10/2023 08:43,FR0000120271,TTE,TotalEnergies,1.0,0.56,EUR,Not available,0.48,GBP,0.19,EUR
Dividend (Dividends paid by us corporations),05/10/2023 12:27,US9256521090,VICI,VICI Properties,6.0,0.35,USD,Not available,1.74,GBP,0.37,USD
Dividend (Dividends paid by us corporations),16/10/2023 12:42,US92936U1097,WPC,WP Carey,2.5,0.91,USD,Not available,1.87,GBP,0.4,USD
Dividend (Dividends paid by foreign corporations),27/10/2023 13:01,CA1360691010,CM,Canadian Imperial Bank of Commerce,3.0,0.54,USD,Not available,1.32,GBP,0.28,USD
Dividend (Dividend),06/11/2023 13:31,GG00BB0RDB98,BSIF,Bluefield Solar Income Fund,75.0,2.3,GBX,Not available,1.73,GBP,0.0,GBX
Dividend (Dividend),09/11/2023 13:41,US57636Q1040,MA,Mastercard,0.1,0.48,USD,Not available,0.04,GBP,0.01,USD
Dividend (Dividend),10/11/2023 14:51,NL0010273215,ASML,ASML,0.8,1.23,EUR,Not available,0.86,GBP,0.17,EUR
Dividend (Dividend),16/11/2023 13:22,US0378331005,AAPL,Apple,1.0,0.2,USD,Not available,0.16,GBP,0.04,USD
Dividend (Dividend),17/11/2023 15:18,GB0008782301,TW.,Taylor Wimpey,70.0,4.79,GBX,Not available,3.35,GBP,0.0,GBX
Dividend (Dividend),01/12/2023 15:15,US4581401001,INTC,Intel,4.0,0.11,USD,Not available,0.34,GBP,0.08,USD
Dividend (Dividend),12/12/2023 09:00,US78409V1044,SPGI,S&P Global,0.5,0.77,USD,Not available,0.3,GBP,0.07,USD
Dividend (Dividend),14/12/2023 09:26,US5949181045,MSFT,Microsoft,0.6,0.64,USD,Not available,0.3,GBP,0.07,USD
Dividend (Dividend),14/12/2023 09:43,US7475251036,QCOM,Qualcomm,1.0,0.68,USD,Not available,0.54,GBP,0.12,USD
Dividend (Dividend),15/12/2023 14:44,GB00BLDYK618,SMT,Scottish Mortgage Investment Trust,45.0,1.6,GBX,Not available,0.72,GBP,0.0,GBX
Dividend (Dividend),15/12/2023 14:45,GG00BPFJTF46,PSH,Pershing Square,1.0,10.19,GBX,Not available,0.1,GBP,0.0,GBX
Dividend (Dividend),27/12/2023 12:19,IE00B3XXRP09,VUSA,Vanguard S&P 500 (Dist),5.0,0.22,GBP,Not available,1.1,GBP,0.0,GBP
Dividend (Dividend),29/12/2023 15:29,US74144T1088,TROW,T Rowe Price,1.0,1.04,USD,Not available,0.82,GBP,0.18,USD
Dividend (Dividend),04/01/2024 12:34,US9256521090,VICI,VICI Properties,14.0,0.35,USD,Not available,3.9,GBP,0.87,USD
Dividend (Dividend),08/01/2024 13:16,GB00BYT1DJ19,ICG,Intermediate Capital Group,2.0,25.8,GBX,Not available,0.52,GBP,0.0,GBX
